ImageID,LabelName1,LabelName2,XMin1,XMax1,YMin1,YMax1,XMin2,XMax2,YMin2,YMax2,RelationshipLabel
fe58ec1b06db2bb7,/m/04bcr3,/m/083vt,0.005,0.033125,0.58,0.62777776,0.005,0.033125,0.58,0.62777776,is
4b6a08cc110d7275,/m/01mzpv,/m/01y9k5,0.17125,0.255625,0.5575,0.74916667,0.2075,0.683125,0.6116666999999999,0.99916667,at
03b5764a5c600aa4,/m/04yx4,/m/0199g,0.11406844,0.20532319,0.334375,0.45375,0.13307984,0.20057034,0.38375,0.465625,on
b9f862b067e0aadc,/m/03bt1vf,/m/05_5p_0,0.809375,0.999375,0.22795497,0.8470919,0.808125,0.8375,0.45684803,0.5703564999999999,holds
04dc709d8c37cced,/m/04yx4,/m/0k4j,0.16,0.54083335,0.21444444,0.8244445,0.0,0.99916667,0.4288889,0.9988889000000001,inside_of
a5bf070ed169885b,/m/04yx4,/m/0342h,0.548125,0.716875,0.22101751,0.9032527,0.53625,0.794375,0.37781486,0.677231,plays
b38a391ad7d879fa,/m/01bl7v,/m/0bt9lr,0.41,0.78375,0.055347092,0.73733586,0.20875,0.5275,0.37804878,0.99906194,interacts_with
10b9cd603d074f3d,/m/04yx4,/m/01226z,0.696875,0.999375,0.3317713,0.814433,0.720625,0.775625,0.6457357,0.75164014,hits
23d725e3f329db33,/m/03bt1vf,/m/080hkjn,0.534375,0.875625,0.11333334,0.9825,0.49125,0.81375,0.31916666,0.9875,wears
dec0c0cbc8355f3b,/m/0bt9lr,/m/04bcr3,0.73625,0.999375,0.36866793,0.99906194,0.0,0.999375,0.22889306,0.99906194,under
